ibge_code,nome_norm,pib_per_capita,idh,saneamento
3536703,pederneiras,64521.62,0.673,100.0
3536802,pedra bela,19271.43,0.581,0.0
3536901,pedranopolis,32369.01,0.684,100.0
3537008,pedregulho,102593.26,0.623,95.46
3537107,pedreira,30658.23,0.701,73.53
3537156,pedrinhas paulista,56819.68,0.739,99.99
3537206,pedro de toledo,15521.76,0.634,67.62
3537305,penapolis,32488.66,0.68,80.0
3537404,pereira barreto,42339.32,0.732,79.99
3537503,pereiras,35826.95,0.637,100.0
3537602,peruibe,28211.36,0.675,88.14
3537701,piacatu,19534.68,0.684,98.62
3537800,piedade,28657.0,0.624,70.91
3537909,pilar do sul,43096.72,0.594,70.9
3538006,pindamonhangaba,79951.7,0.736,92.53
3538105,pindorama,28703.01,0.654,77.06
3538204,pinhalzinho,20216.61,0.666,62.77
3538303,piquerobi,18103.98,0.644,99.99
3538501,piquete,14661.29,0.74,0.0
3538600,piracaia,23959.72,0.625,58.36
3538709,piracicaba,84225.76,0.717,100.0
3538808,piraju,30945.65,0.699,100.0
3538907,pirajui,20820.31,0.672,0.0
3539004,pirangi,31655.48,0.701,83.16
3539103,pirapora do bom jesus,42495.88,0.698,11.53
3539202,pirapozinho,33165.84,0.733,96.66
3539301,pirassununga,42833.73,0.736,80.0
3539400,piratininga,20048.02,0.723,91.54
3539509,pitangueiras,34369.55,0.651,0.0
3539608,planalto,36082.23,0.639,99.42
3539707,platina,33283.11,0.652,99.99
3539806,poa,31616.47,0.754,73.2
3539905,poloni,25044.23,0.717,99.72
3540002,pompeia,87425.49,0.748,85.51
3540101,pongai,27887.43,0.701,100.0
3540200,pontal,28285.96,0.633,81.81
3540259,pontalinda,20773.37,0.604,100.0
3540309,pontes gestal,49170.31,0.69,98.73
3540408,populina,28351.02,0.647,100.0
3540507,porangaba,22903.9,0.578,42.43
3540606,porto feliz,69921.89,0.706,88.09
3540705,porto ferreira,43904.33,0.696,65.52
3540754,potim,12047.78,0.646,0.0
3540804,potirendaba,35101.25,0.661,97.09
3540853,pracinha,9468.33,0.629,100.0
